Patch,Original Contract,Detected,Fixed,Maintained
./reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,smartbugs-curated/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,6,0,6
./reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,smartbugs-curated/dataset/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,5,0,5
./reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,smartbugs-curated/dataset/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,5,0,5
./reentrancy/modifier_reentrancy/modifier_reentrancy.sol,smartbugs-curated/dataset/reentrancy/modifier_reentrancy.sol,1,0,1
./time_manipulation/ether_lotto/ether_lotto.sol,smartbugs-curated/dataset/time_manipulation/ether_lotto.sol,0,0,0
./time_manipulation/governmental_survey/governmental_survey.sol,smartbugs-curated/dataset/time_manipulation/governmental_survey.sol,0,0,0
./time_manipulation/lottopollo/lottopollo.sol,smartbugs-curated/dataset/time_manipulation/lottopollo.sol,0,0,0
./front_running/odds_and_evens/odds_and_evens.sol,smartbugs-curated/dataset/front_running/odds_and_evens.sol,0,0,0
./front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal.sol,smartbugs-curated/dataset/front_running/eth_tx_order_dependence_minimal.sol,0,0,0
./other/crypto_roulette/crypto_roulette.sol,smartbugs-curated/dataset/other/crypto_roulette.sol,0,0,0
./other/open_address_lottery/open_address_lottery.sol,smartbugs-curated/dataset/other/open_address_lottery.sol,0,0,0
./access_control/phishable/phishable.sol,smartbugs-curated/dataset/access_control/phishable.sol,1,1,0
./access_control/FibonacciBalance/FibonacciBalance.sol,smartbugs-curated/dataset/access_control/FibonacciBalance.sol,0,0,0
./access_control/wallet_04_confused_sign/wallet_04_confused_sign.sol,smartbugs-curated/dataset/access_control/wallet_04_confused_sign.sol,0,0,0
./access_control/wallet_02_refund_nosub/wallet_02_refund_nosub.sol,smartbugs-curated/dataset/access_control/wallet_02_refund_nosub.sol,0,0,0
./access_control/wallet_03_wrong_constructor/wallet_03_wrong_constructor.sol,smartbugs-curated/dataset/access_control/wallet_03_wrong_constructor.sol,0,0,0
./access_control/mycontract/mycontract.sol,smartbugs-curated/dataset/access_control/mycontract.sol,1,1,0
